Team,Conference,SOS,Prev SOS,Adj. RPI,Adj. RPI Value,RPI,RPI Value,WL,Adj. Non-Conf RPI,Non-Conf Record,Conf RPI,Conf. Record,Road WL,Last 10 Games,RPI 1-25,RPI 26-50,RPI 51-100,RPI 101+,vs TOP 100,vs below 150,NC SOS,NC SOS Value,advanced
Lafayette,Patriot,259,259,293,0.369,294,0.3844,10-37,280,8-21,26,2-16,4-21,2-8,0-0,0-0,0-6,10-31,0-6,10-27,243,0.44897,0
North Dakota,Summit League,260,255,276,0.39573,277,0.40553,14-39,269,10-22,21,4-17,7-24,2-8,0-0,0-5,1-7,13-27,1-12,12-21,267,0.42724,0
Cleveland St.,Horizon,261,260,213,0.45203,218,0.45203,22-24,258,4-13,29,18-11,10-7,5-5,0-0,0-0,0-5,22-19,0-5,20-17,189,0.47854,0
UMBC,America East,262,266,104,0.52334,104,0.52334,31-10,138,16-4,24,15-6,8-4,7-3,0-0,0-0,1-0,30-10,1-0,20-6,300,0.35826,1
Bryant,NEC,263,263,262,0.40943,260,0.41923,15-27,290,2-16,30,13-11,7-18,5-5,0-2,0-0,0-2,15-23,0-4,14-20,218,0.46634,0
Jackson St.,SWAC,264,262,236,0.43411,244,0.43411,21-27,239,7-13,31,14-14,4-14,4-6,0-0,0-0,0-5,21-22,0-5,20-18,142,0.50706,0
Drexel,CAA,265,264,200,0.46027,200,0.46377,24-23,148,19-9,14,5-14,11-15,4-6,0-0,0-0,0-4,24-19,0-4,20-6,271,0.41996,0
Rhode Island,Atlantic 10,266,265,289,0.3808,287,0.3913,11-35,278,7-16,25,4-19,5-16,1-9,0-0,0-0,0-4,11-31,0-4,11-25,272,0.4181,0
Siena,MAAC,267,268,199,0.46099,180,0.47359,32-23,242,14-15,28,18-8,14-11,8-2,0-0,0-0,0-1,32-22,0-1,31-14,277,0.41268,0
Howard,MEAC,268,280,202,0.45922,196,0.46482,29-22,253,8-17,32,21-5,12-6,8-2,0-0,0-0,0-5,29-17,0-5,29-16,225,0.46323,1
Western Mich.,MAC,269,267,249,0.42509,237,0.43769,22-32,265,10-16,22,12-16,7-15,6-4,0-2,0-2,0-3,22-25,0-7,20-19,282,0.40321,0
Tarleton St.,WAC,270,271,179,0.47212,184,0.47072,29-23,156,15-13,20,14-10,8-12,4-6,0-0,0-1,2-5,27-17,2-6,26-10,222,0.46453,0
Ark.-Pine Bluff,SWAC,271,277,299,0.33912,299,0.34472,4-37,274,0-17,31,4-20,2-19,2-8,0-0,0-0,0-9,4-28,0-9,4-24,61,0.55207,0
Merrimack,NEC,272,269,282,0.38985,273,0.40735,14-28,283,4-14,30,10-14,3-14,6-4,0-0,0-0,0-4,14-24,0-4,14-17,238,0.45156,0
LIU,NEC,273,279,224,0.44172,229,0.44312,26-31,240,13-20,30,13-11,7-12,5-5,0-2,0-0,0-3,26-26,0-5,24-18,250,0.44449,0
N.C. Central,MEAC,274,272,288,0.38171,293,0.38451,12-36,273,3-21,32,9-15,1-20,3-7,0-0,0-0,0-4,12-32,0-4,12-24,151,0.50345,0
George Mason,Atlantic 10,275,270,227,0.43946,222,0.44856,24-26,241,12-14,25,12-12,7-12,7-3,0-0,0-0,1-4,23-22,1-4,23-13,275,0.41593,0
South Carolina St.,MEAC,276,274,301,0.32066,301,0.33536,3-37,295,1-18,32,2-19,2-17,0-10,0-0,0-0,0-2,3-35,0-2,3-32,147,0.50435,0
Hartford,America East,277,273,281,0.39051,267,0.40941,17-32,289,10-16,24,7-16,7-23,4-6,0-0,0-0,0-0,17-32,0-0,15-22,295,0.38182,0
Mississippi Val.,SWAC,278,275,275,0.39752,284,0.39752,11-26,261,1-10,31,10-16,1-14,2-8,0-0,0-1,0-4,11-21,0-5,10-18,94,0.5331,0
Alabama St.,SWAC,279,278,242,0.42999,248,0.43279,24-31,262,9-17,31,15-14,5-16,6-4,0-1,0-4,0-1,24-25,0-6,24-21,240,0.45098,0
Saint Francis (PA),NEC,280,276,136,0.50176,135,0.50176,37-16,164,17-12,30,20-4,13-11,10-0,0-1,0-0,0-6,37-9,0-7,36-8,241,0.4502,1
Alcorn,SWAC,281,282,287,0.38223,291,0.38643,12-31,282,0-17,31,12-14,3-17,1-9,0-1,0-2,0-5,12-23,0-8,12-21,135,0.51176,0
Columbia,Ivy League,282,281,277,0.39435,280,0.40345,12-26,281,4-13,27,8-13,8-10,4-6,0-1,0-0,0-1,12-24,0-2,11-17,269,0.42266,0
Brown,Ivy League,283,283,258,0.41607,261,0.41887,16-25,224,9-11,27,7-14,6-12,4-6,0-0,0-0,0-1,16-24,0-1,16-15,262,0.43254,0
